DATE,IPG2211N
1972-01-01,35.9728
1972-02-01,36.1334
1972-03-01,35.0625
1972-04-01,33.8416
1972-05-01,33.5107
1972-06-01,36.4823
1972-07-01,39.1412
1972-08-01,41.4137
1972-09-01,40.1639
1972-10-01,37.1133
1972-11-01,37.0248
1972-12-01,38.4341
1973-01-01,40.7455
1973-02-01,39.8340
1973-03-01,37.9408
1973-04-01,36.3004
1973-05-01,36.5293
1973-06-01,40.8899
1973-07-01,44.3563
1973-08-01,45.9240
1973-09-01,44.4555
1973-10-01,40.6417
1973-11-01,39.4901
1973-12-01,38.9068
1974-01-01,40.0956
1974-02-01,39.6944
1974-03-01,38.3040
1974-04-01,36.8939
1974-05-01,37.5668
1974-06-01,40.3832
1974-07-01,44.9671
1974-08-01,46.1853
1974-09-01,43.3001
1974-10-01,40.3836
1974-11-01,39.8092
1974-12-01,42.0597
1975-01-01,43.4099
1975-02-01,42.5826
1975-03-01,40.9244
1975-04-01,39.3533
1975-05-01,39.0766
1975-06-01,42.4851
1975-07-01,46.3693
1975-08-01,48.1945
1975-09-01,45.1688
1975-10-01,41.1880
1975-11-01,40.8431
1975-12-01,44.1468
1976-01-01,47.6892
1976-02-01,44.8505
1976-03-01,42.8557
1976-04-01,41.0177
1976-05-01,40.7201
1976-06-01,45.0610
1976-07-01,48.9685
1976-08-01,50.1898
1976-09-01,47.5982
1976-10-01,44.0684
1976-11-01,45.4267
1976-12-01,49.3447
1977-01-01,52.9153
1977-02-01,49.9488
1977-03-01,46.1749
1977-04-01,43.6652
1977-05-01,44.5402
1977-06-01,48.9480
1977-07-01,53.8292
1977-08-01,54.1182
1977-09-01,50.9980
1977-10-01,46.3711
1977-11-01,45.3267
1977-12-01,49.0027
1978-01-01,53.3617
1978-02-01,51.6279
1978-03-01,47.8264
1978-04-01,43.7935
1978-05-01,44.8591
1978-06-01,50.3292
1978-07-01,54.3579
1978-08-01,55.9197
1978-09-01,53.5776
1978-10-01,48.7261
1978-11-01,48.2585
1978-12-01,51.3008
1979-01-01,56.5838
1979-02-01,55.6802
1979-03-01,50.4428
1979-04-01,46.8693
1979-05-01,46.0886
1979-06-01,49.7595
1979-07-01,53.8273
1979-08-01,56.2272
1979-09-01,52.5737
1979-10-01,48.8947
1979-11-01,48.4081
1979-12-01,50.6659
1980-01-01,53.5867
1980-02-01,53.5461
1980-03-01,51.0708
1980-04-01,46.9172
1980-05-01,45.5795
1980-06-01,50.0235
1980-07-01,57.1384
1980-08-01,59.5376
1980-09-01,56.1935
1980-10-01,50.3249
1980-11-01,49.2234
1980-12-01,52.8176
1981-01-01,57.4002
1981-02-01,54.6248
1981-03-01,51.1896
1981-04-01,48.4958
1981-05-01,47.9140
1981-06-01,54.5292
1981-07-01,59.5975
1981-08-01,59.6727
1981-09-01,54.9644
1981-10-01,50.4093
1981-11-01,49.7304
1981-12-01,53.4477
1982-01-01,57.8035
1982-02-01,54.3171
1982-03-01,51.2296
1982-04-01,48.5554
1982-05-01,47.3548
1982-06-01,51.8479
1982-07-01,56.4073
1982-08-01,57.0522
1982-09-01,53.2825
1982-10-01,48.6462
1982-11-01,48.5762
1982-12-01,50.9131
1983-01-01,53.8233
1983-02-01,52.0005
1983-03-01,49.8258
1983-04-01,48.1762
1983-05-01,46.8221
1983-06-01,52.1043
1983-07-01,59.2376
1983-08-01,63.0354
1983-09-01,58.8092
1983-10-01,52.0758
1983-11-01,51.5264
1983-12-01,56.4794
1984-01-01,60.9006
1984-02-01,57.1310
1984-03-01,55.2857
1984-04-01,51.4436
1984-05-01,52.0810
1984-06-01,57.5410
1984-07-01,61.2397
1984-08-01,63.2502
1984-09-01,58.6939
1984-10-01,53.6227
1984-11-01,53.7972
1984-12-01,56.6369
1985-01-01,63.4267
1985-02-01,61.3016
1985-03-01,55.8488
1985-04-01,53.3782
1985-05-01,54.1358
1985-06-01,58.5966
1985-07-01,63.7333
1985-08-01,64.5506
1985-09-01,61.9159
1985-10-01,55.7588
1985-11-01,55.4629
1985-12-01,61.4175
1986-01-01,63.9303
1986-02-01,60.3646
1986-03-01,56.0702
1986-04-01,53.9762
1986-05-01,54.8074
1986-06-01,60.9330
1986-07-01,67.8937
1986-08-01,66.6955
1986-09-01,62.8912
1986-10-01,57.8284
1986-11-01,57.0461
1986-12-01,62.1443
1987-01-01,65.1403
1987-02-01,62.3975
1987-03-01,59.3460
1987-04-01,56.5817
1987-05-01,58.2626
1987-06-01,65.1768
1987-07-01,71.0094
1987-08-01,72.3010
1987-09-01,65.8237
1987-10-01,59.7144
1987-11-01,59.6736
1987-12-01,64.4422
1988-01-01,70.3996
1988-02-01,67.9200
1988-03-01,63.8744
1988-04-01,59.9583
1988-05-01,60.1815
1988-06-01,68.2487
1988-07-01,75.1146
1988-08-01,78.0872
1988-09-01,69.3406
1988-10-01,62.8362
1988-11-01,62.1364
1988-12-01,67.7310
1989-01-01,70.0406
1989-02-01,68.7045
1989-03-01,66.3675
1989-04-01,61.4050
1989-05-01,62.7297
1989-06-01,69.9173
1989-07-01,76.4218
1989-08-01,77.6320
1989-09-01,71.0673
1989-10-01,65.3455
1989-11-01,65.6080
1989-12-01,75.0806
1990-01-01,75.3432
1990-02-01,70.4279
1990-03-01,67.2785
1990-04-01,63.5089
1990-05-01,65.0637
1990-06-01,73.1867
1990-07-01,79.5446
1990-08-01,80.1356
1990-09-01,75.5456
1990-10-01,67.5532
1990-11-01,65.9821
1990-12-01,71.2865
1991-01-01,76.4893
1991-02-01,70.8296
1991-03-01,67.7166
1991-04-01,64.4234
1991-05-01,68.9159
1991-06-01,77.1266
1991-07-01,82.8681
1991-08-01,82.0134
1991-09-01,75.6726
1991-10-01,68.4600
1991-11-01,68.5905
1991-12-01,72.5001
1992-01-01,76.3454
1992-02-01,72.5838
1992-03-01,68.2756
1992-04-01,65.6965
1992-05-01,66.5711
1992-06-01,73.0804
1992-07-01,80.3847
1992-08-01,79.5582
1992-09-01,74.6987
1992-10-01,68.8537
1992-11-01,69.6758
1992-12-01,76.0833
1993-01-01,77.6749
1993-02-01,75.1092
1993-03-01,71.1866
1993-04-01,66.8361
1993-05-01,68.0393
1993-06-01,76.7436
1993-07-01,85.8577
1993-08-01,85.9538
1993-09-01,77.5044
1993-10-01,69.2900
1993-11-01,70.3729
1993-12-01,76.2577
1994-01-01,82.0302
1994-02-01,76.6372
1994-03-01,72.0260
1994-04-01,68.0178
1994-05-01,69.5021
1994-06-01,80.7147
1994-07-01,87.1047
1994-08-01,85.5512
1994-09-01,78.5878
1994-10-01,71.5596
1994-11-01,72.1969
1994-12-01,77.3523
1995-01-01,81.6179
1995-02-01,77.5110
1995-03-01,73.7351
1995-04-01,69.8220
1995-05-01,73.0125
1995-06-01,81.5073
1995-07-01,90.4389
1995-08-01,94.6517
