"WEEK","VEND","UPC","UNITS","DOLLARS","F","D","VOL_EQ","PPU"
1,45300,"00-01-45300-00542",14,29.26,"NONE",0,1.0187,2.09
1,45300,"00-01-45300-00549",32,66.88,"NONE",0,1.0187,2.09
1,45300,"00-01-45300-00540",8,16.72,"NONE",0,1.0187,2.09
1,51500,"00-01-51500-00055",11,31.79,"NONE",0,1.125,2.89
1,51500,"00-01-51500-25525",5,11.1,"NONE",0,1.125,2.22
1,51500,"00-02-51500-24128",97,215.34,"NONE",0,1.125,2.22
1,51500,"00-01-51500-25544",36,79.92,"NONE",0,1.125,2.22
1,51500,"00-01-51500-24320",30,71.7,"NONE",0,1.125,2.39
1,51500,"00-01-51500-25545",17,37.74,"NONE",0,1.125,2.22
1,51500,"00-01-51500-24135",13,28.86,"NONE",0,1.125,2.22
1,51500,"00-01-51500-24334",7,21.63,"NONE",0,0.8438,3.09
1,51500,"00-01-51500-72000",18,39.96,"NONE",0,1.0812,2.22
1,51500,"00-01-51500-01700",37,110.63,"NONE",0,1,2.99
1,79311,"00-01-79311-00004",43,83.85,"NONE",0,1,1.95
1,79311,"00-02-79311-00003",38,74.1,"NONE",0,1,1.95
1,51087,"08-01-51087-00006",1,4.69,"NONE",0,1,4.69
1,33776,"00-03-33776-10035",4,13.56,"NONE",0,1,3.39
1,33776,"00-01-33776-10037",3,10.17,"NONE",0,1,3.39
1,33776,"00-01-33776-10030",1,3.39,"NONE",0,1,3.39
1,33776,"00-01-33776-10033",6,20.34,"NONE",0,1,3.39
1,51651,"00-01-51651-09235",8,38.32,"NONE",0,1,4.79
1,48001,"00-01-48001-00643",19,56.81,"NONE",0,1.0187,2.99
1,48001,"00-01-48001-00641",4,11.96,"NONE",0,1.0187,2.99
1,48001,"00-01-48001-00687",40,119.6,"NONE",0,0.9375,2.99
1,99998,"88-02-99998-35369",24,51.6,"NONE",0,1,2.15
1,99998,"88-02-99998-35182",15,22.35,"NONE",0,1.125,1.49
1,99998,"88-02-99998-35364",99,167.31,"NONE",0,1.125,1.69
1,99998,"88-02-99998-35365",20,33.67,"NONE",0,1.0812,1.6835
1,99998,"88-02-99998-35347",26,43.94,"NONE",0,1.125,1.69
1,99998,"88-02-99998-35276",17,36.55,"NONE",0,1,2.15
1,99998,"88-02-99998-35373",31,76.39,"NONE",0,1.125,2.4641935483871
1,99998,"88-02-99998-35197",28,47.32,"NONE",0,1.125,1.69
1,99998,"88-02-99998-35483",5,7.45,"NONE",0,1.125,1.49
1,99998,"88-02-99998-35374",5,12.2,"NONE",0,1.125,2.44
2,45300,"00-01-45300-00542",18,37.62,"NONE",0,1.0187,2.09
2,45300,"00-01-45300-00549",34,71.06,"NONE",0,1.0187,2.09
2,45300,"00-01-45300-00540",5,10.45,"NONE",0,1.0187,2.09
2,51500,"00-01-51500-00055",5,14.45,"NONE",0,1.125,2.89
2,51500,"00-01-51500-25525",11,24.42,"NONE",0,1.125,2.22
2,51500,"00-02-51500-24128",87,193.14,"NONE",0,1.125,2.22
2,51500,"00-01-51500-25544",31,68.82,"NONE",0,1.125,2.22
2,51500,"00-01-51500-24320",23,54.97,"NONE",0,1.125,2.39
2,51500,"00-01-51500-25545",10,22.2,"NONE",0,1.125,2.22
2,51500,"00-01-51500-24135",12,26.64,"NONE",0,1.125,2.22
2,51500,"00-01-51500-24334",7,21.63,"NONE",0,0.8438,3.09
2,51500,"00-01-51500-72000",26,57.72,"NONE",0,1.0812,2.22
2,51500,"00-01-51500-01700",17,50.83,"NONE",0,1,2.99
2,79311,"00-01-79311-00004",6,13.02,"NONE",0,1,2.17
2,79311,"00-02-79311-00003",17,39.31,"NONE",0,1,2.31235294117647
2,51087,"08-01-51087-00006",5,23.45,"NONE",0,1,4.69
2,33776,"00-03-33776-10035",3,10.17,"NONE",0,1,3.39
2,33776,"00-01-33776-10037",4,13.56,"NONE",0,1,3.39
2,33776,"00-01-33776-10030",6,20.34,"NONE",0,1,3.39
2,33776,"00-01-33776-10033",6,20.34,"NONE",0,1,3.39
2,51651,"00-01-51651-09235",1,4.79,"NONE",0,1,4.79
2,48001,"00-01-48001-00643",33,98.67,"NONE",0,1.0187,2.99
2,48001,"00-01-48001-00641",13,38.87,"NONE",0,1.0187,2.99
2,48001,"00-01-48001-00687",30,89.7,"NONE",0,0.9375,2.99
2,72457,"00-01-72457-66011",1,3.99,"NONE",0,0.75,3.99
2,99998,"88-02-99998-35369",25,53.75,"NONE",0,1,2.15
2,99998,"88-02-99998-35182",8,11.92,"NONE",0,1.125,1.49
2,99998,"88-02-99998-35364",113,190.97,"NONE",0,1.125,1.69
2,99998,"88-02-99998-35365",19,32.11,"NONE",0,1.0812,1.69
2,99998,"88-02-99998-35347",19,32.11,"NONE",0,1.125,1.69
2,99998,"88-02-99998-35276",28,60.2,"NONE",0,1,2.15
2,99998,"88-02-99998-35373",35,85.4,"NONE",0,1.125,2.44
2,99998,"88-02-99998-35197",30,50.7,"NONE",0,1.125,1.69
2,99998,"88-02-99998-35483",13,19.37,"NONE",0,1.125,1.49
2,99998,"88-02-99998-35374",9,21.96,"NONE",0,1.125,2.44
3,45300,"00-01-45300-00542",12,25.08,"NONE",0,1.0187,2.09
3,45300,"00-01-45300-00549",41,85.69,"NONE",0,1.0187,2.09
3,45300,"00-01-45300-00540",10,20.9,"NONE",0,1.0187,2.09
3,51500,"00-01-51500-00055",8,23.12,"NONE",0,1.125,2.89
