DATE,MRTSSM4451USN
1/1/1992,27306
2/1/1992,26223
3/1/1992,27235
4/1/1992,27588
5/1/1992,28883
6/1/1992,28039
7/1/1992,29479
8/1/1992,28645
9/1/1992,27475
10/1/1992,28583
11/1/1992,27620
12/1/1992,30294
1/1/1993,27571
2/1/1993,25748
3/1/1993,27911
4/1/1993,28112
5/1/1993,29096
6/1/1993,28576
7/1/1993,30067
8/1/1993,28470
9/1/1993,28022
10/1/1993,28532
11/1/1993,28081
12/1/1993,31132
1/1/1994,27889
2/1/1994,26175
3/1/1994,29261
4/1/1994,28529
5/1/1994,29402
6/1/1994,29721
7/1/1994,30344
8/1/1994,29792
9/1/1994,29102
10/1/1994,29079
11/1/1994,29077
12/1/1994,32152
1/1/1995,28629
2/1/1995,26762
3/1/1995,29708
4/1/1995,29086
5/1/1995,30388
6/1/1995,30229
7/1/1995,30654
8/1/1995,30434
9/1/1995,29378
10/1/1995,29068
11/1/1995,29619
12/1/1995,32454
1/1/1996,29172
2/1/1996,28191
3/1/1996,30245
4/1/1996,29344
5/1/1996,31364
6/1/1996,30470
7/1/1996,31377
8/1/1996,31747
9/1/1996,29495
10/1/1996,30674
11/1/1996,31014
12/1/1996,32454
1/1/1997,30534
2/1/1997,27985
3/1/1997,31513
4/1/1997,29853
5/1/1997,32412
6/1/1997,30527
7/1/1997,32232
8/1/1997,32032
9/1/1997,30142
10/1/1997,31319
11/1/1997,31032
12/1/1997,32989
1/1/1998,30679
2/1/1998,27947
3/1/1998,30501
4/1/1998,30826
5/1/1998,32456
6/1/1998,31215
7/1/1998,33067
8/1/1998,32220
9/1/1998,31005
10/1/1998,32214
11/1/1998,31377
12/1/1998,34681
1/1/1999,31516
2/1/1999,29413
3/1/1999,32451
4/1/1999,31948
5/1/1999,33727
6/1/1999,32568
7/1/1999,34568
8/1/1999,32944
9/1/1999,32624
10/1/1999,32935
11/1/1999,32510
12/1/1999,37046
1/1/2000,31336
2/1/2000,30515
3/1/2000,33216
4/1/2000,33004
5/1/2000,34085
6/1/2000,33880
7/1/2000,34517
8/1/2000,34225
9/1/2000,33324
10/1/2000,33190
11/1/2000,33969
12/1/2000,37254
1/1/2001,33236
2/1/2001,31488
3/1/2001,34856
4/1/2001,33685
5/1/2001,36068
6/1/2001,35215
7/1/2001,35418
8/1/2001,35919
9/1/2001,34379
10/1/2001,34847
11/1/2001,35308
12/1/2001,37708
1/1/2002,34533
2/1/2002,32024
3/1/2002,35863
4/1/2002,33190
5/1/2002,36478
6/1/2002,34933
7/1/2002,35885
8/1/2002,36025
9/1/2002,33610
10/1/2002,34885
11/1/2002,35649
12/1/2002,36738
1/1/2003,35384
2/1/2003,32440
3/1/2003,35265
4/1/2003,34854
5/1/2003,37057
6/1/2003,35212
7/1/2003,37108
8/1/2003,36644
9/1/2003,34697
10/1/2003,35870
11/1/2003,35786
12/1/2003,37670
1/1/2004,36475
2/1/2004,33701
3/1/2004,35892
4/1/2004,35876
5/1/2004,37733
6/1/2004,36362
7/1/2004,38170
8/1/2004,36607
9/1/2004,36360
10/1/2004,37004
11/1/2004,36876
12/1/2004,40080
1/1/2005,37176
2/1/2005,34286
3/1/2005,38210
4/1/2005,36908
5/1/2005,38742
6/1/2005,38219
7/1/2005,39289
8/1/2005,38627
9/1/2005,37844
10/1/2005,38251
11/1/2005,38354
12/1/2005,41761
1/1/2006,37489
2/1/2006,35506
3/1/2006,38827
4/1/2006,38269
5/1/2006,40341
6/1/2006,39569
7/1/2006,40357
8/1/2006,40340
9/1/2006,38766
10/1/2006,39322
11/1/2006,39989
12/1/2006,42924
1/1/2007,39649
2/1/2007,37150
3/1/2007,40815
4/1/2007,39244
5/1/2007,42207
6/1/2007,41279
7/1/2007,41619
8/1/2007,41896
9/1/2007,40191
10/1/2007,40924
11/1/2007,41910
12/1/2007,44476
1/1/2008,41864
2/1/2008,39915
3/1/2008,42590
4/1/2008,40966
5/1/2008,44549
6/1/2008,42299
7/1/2008,44057
8/1/2008,44010
9/1/2008,41378
10/1/2008,42811
11/1/2008,42751
12/1/2008,44032
1/1/2009,42942
2/1/2009,38522
3/1/2009,41312
4/1/2009,41781
5/1/2009,44034
6/1/2009,42147
7/1/2009,43839
8/1/2009,42995
9/1/2009,41538
10/1/2009,43020
11/1/2009,42508
12/1/2009,45395
1/1/2010,42985
2/1/2010,40061
3/1/2010,43434
4/1/2010,42236
5/1/2010,44607
6/1/2010,42877
7/1/2010,44559
8/1/2010,43431
9/1/2010,42642
10/1/2010,43536
11/1/2010,43724
12/1/2010,46658
1/1/2011,44282
2/1/2011,41229
3/1/2011,45068
4/1/2011,45586
5/1/2011,46318
6/1/2011,45883
7/1/2011,47171
8/1/2011,46448
9/1/2011,44877
10/1/2011,45725
11/1/2011,46046
12/1/2011,48843
1/1/2012,45462
2/1/2012,44174
3/1/2012,47408
4/1/2012,45754
5/1/2012,48420
6/1/2012,47217
7/1/2012,47473
8/1/2012,48047
9/1/2012,46046
10/1/2012,46975
11/1/2012,47310
12/1/2012,49359
1/1/2013,47076
2/1/2013,43830
3/1/2013,48862
4/1/2013,45308
5/1/2013,49542
6/1/2013,47759
7/1/2013,48781
8/1/2013,49287
9/1/2013,46503
10/1/2013,48291
11/1/2013,48917
12/1/2013,50391
1/1/2014,49165
2/1/2014,45122
3/1/2014,49034
4/1/2014,48727
5/1/2014,51777
6/1/2014,49459
7/1/2014,51374
8/1/2014,51298
9/1/2014,48826
10/1/2014,50994
11/1/2014,50945
12/1/2014,52882
1/1/2015,51371
2/1/2015,46897
3/1/2015,50922
4/1/2015,49816
5/1/2015,52876
6/1/2015,50603
7/1/2015,52731
8/1/2015,51738
9/1/2015,49871
10/1/2015,51610
11/1/2015,50997
12/1/2015,53793
1/1/2016,51824
2/1/2016,48804
3/1/2016,52336
4/1/2016,50627
5/1/2016,53132
6/1/2016,52381
7/1/2016,53385
8/1/2016,52414
9/1/2016,51268
10/1/2016,52769
11/1/2016,52431
12/1/2016,55955
1/1/2017,51925
2/1/2017,48490
3/1/2017,53530
4/1/2017,52677
5/1/2017,54666
6/1/2017,53107
7/1/2017,54027
8/1/2017,53902
9/1/2017,52987
10/1/2017,53421
11/1/2017,54370
12/1/2017,58043
